Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity,Cluster
2014.0,jan,1/1/2014,1,0,4,11,0.0,2
2014.0,jan,1/1/2014,1,1,4,11,0.0,2
2014.0,jan,1/1/2014,1,2,4,11,0.0,2
2014.0,jan,1/1/2014,1,5,4,11,0.0,2
2014.0,jan,1/1/2014,1,9,3,9,0.0,2
2014.0,jan,1/1/2014,1,12,4,11,0.0,2
2014.0,jan,1/1/2014,1,15,4,11,0.0,2
2014.0,jan,1/1/2014,1,20,3,10,0.0,2
2014.0,jan,1/1/2014,1,21,4,11,0.0,2
2014.0,jan,1/1/2014,1,25,4,11,0.0,2
2014.0,jan,1/1/2014,1,26,4,11,0.0,2
2014.0,jan,1/1/2014,1,27,4,11,0.0,2
2014.0,jan,1/1/2014,1,33,4,11,0.0,0
2014.0,jan,1/1/2014,1,31,0,0,1.0,1
2014.0,jan,1/1/2014,1,39,2,8,0.0,0
2014.0,jan,1/1/2014,1,40,2,7,0.0,0
2014.0,jan,1/1/2014,1,46,3,9,0.0,0
2014.0,jan,1/1/2014,1,50,4,11,0.0,0
2014.0,jan,1/1/2014,1,54,4,11,0.0,0
2014.0,jan,1/1/2014,1,59,1,5,0.0,1
2014.0,jan,1/1/2014,1,63,4,11,0.0,0
2014.0,jan,1/1/2014,1,65,4,11,0.0,0
2014.0,jan,1/1/2014,1,66,4,11,0.0,0
2014.0,jan,1/1/2014,1,67,4,11,0.0,0
2014.0,jan,1/1/2014,1,71,4,11,0.0,0
2014.0,jan,1/1/2014,2,1,4,11,0.0,2
2014.0,jan,1/1/2014,2,9,3,9,0.0,2
2014.0,jan,1/1/2014,2,10,4,11,0.0,2
2014.0,jan,1/1/2014,2,14,4,11,0.0,2
2014.0,jan,1/1/2014,2,15,4,11,0.0,2
2014.0,jan,1/1/2014,2,16,4,11,0.0,2
2014.0,jan,1/1/2014,2,21,4,11,0.0,2
2014.0,jan,1/1/2014,2,22,4,11,0.0,2
2014.0,jan,1/1/2014,2,26,4,11,0.0,2
2014.0,jan,1/1/2014,2,33,4,11,0.0,0
2014.0,jan,1/1/2014,2,31,0,0,0.0,1
2014.0,jan,1/1/2014,2,38,0,0,0.0,1
2014.0,jan,1/1/2014,2,39,2,8,0.0,0
2014.0,jan,1/1/2014,2,40,2,7,0.0,0
2014.0,jan,1/1/2014,2,59,1,5,0.0,1
2014.0,jan,1/1/2014,2,60,1,4,0.0,1
2014.0,jan,1/1/2014,2,63,4,11,0.0,0
2014.0,jan,1/1/2014,2,66,4,11,0.0,0
2014.0,jan,1/1/2014,3,1,4,11,0.0,2
2014.0,jan,1/1/2014,3,2,4,11,0.0,2
2014.0,jan,1/1/2014,3,5,4,11,0.0,2
